annot_id,PAD#,Camera,"Lighting (lightbox, benchtop, benchtop dark)",black/white background,API,Sample,mg concentration (w/w mg/mg or w/v mg/mL),% Conc,missing_card,matched_id,matched_sample_id,matched_sample_name,matched_quantity,matched_camera_type_1,matched_deleted,matched_date_of_creation,matched_url,notes
146,80326,nokia,lightbox,black,Hydroxyurea (oral),100 hydrea 5,0.9020522052,90.2,False,,,,,,,,,
147,80326,nokia,no light,black,Hydroxyurea (oral),100 hydrea 5,0.9020522052,90.2,False,,,,,,,,,
148,81563,nokia,benchtop,black,Hydroxyurea (oral),100 micro 5,0.8154976698,81.5,False,,,,,,,,,
149,81563,nokia,lightbox,black,Hydroxyurea (oral),100 micro 5,0.8154976698,81.5,False,,,,,,,,,
150,81563,nokia,no light,black,Hydroxyurea (oral),100 micro 5,0.8154976698,81.5,False,,,,,,,,,
151,80326,ipad,benchtop,black,Hydroxyurea (oral),100 hydrea 5,0.9020522052,90.2,False,,,,,,,,,
152,80326,ipad,lightbox,black,Hydroxyurea (oral),100 hydrea 5,0.9020522052,90.2,False,,,,,,,,,
153,80326,ipad,no light,black,Hydroxyurea (oral),100 hydrea 5,0.9020522052,90.2,False,,,,,,,,,
154,81563,ipad,benchtop,black,Hydroxyurea (oral),100 micro 5,0.8154976698,81.5,False,,,,,,,,,
155,81563,ipad,lightbox,black,Hydroxyurea (oral),100 micro 5,0.8154976698,81.5,False,,,,,,,,,
156,81563,ipad,no light,black,Hydroxyurea (oral),100 micro 5,0.8154976698,81.5,False,,,,,,,,,
157,80329,nokia,benchtop,black,Hydroxyurea (oral),100 hydrea 6,0.9020522052,90.2,False,,,,,,,,,
158,80329,nokia,lightbox,black,Hydroxyurea (oral),100 hydrea 6,0.9020522052,90.2,False,,,,,,,,,
159,80329,nokia,no light,black,Hydroxyurea (oral),100 hydrea 6,0.9020522052,90.2,False,,,,,,,,,
160,81562,nokia,benchtop,black,Hydroxyurea (oral),100 micro 6,0.8154976698,81.5,False,,,,,,,,,
161,81562,nokia,lightbox,black,Hydroxyurea (oral),100 micro 6,0.8154976698,81.5,False,,,,,,,,,
162,81562,nokia,no light,black,Hydroxyurea (oral),100 micro 6,0.8154976698,81.5,False,,,,,,,,,
163,80329,ipad,benchtop,black,Hydroxyurea (oral),100 hydrea 6,0.9020522052,90.2,False,,,,,,,,,
164,80329,ipad,lightbox,black,Hydroxyurea (oral),100 hydrea 6,0.9020522052,90.2,False,,,,,,,,,
165,80329,ipad,no light,black,Hydroxyurea (oral),100 hydrea 6,0.9020522052,90.2,False,,,,,,,,,
166,81562,ipad,benchtop,black,Hydroxyurea (oral),100 micro 6,0.8154976698,81.5,False,,,,,,,,,
167,81562,ipad,lightbox,black,Hydroxyurea (oral),100 micro 6,0.8154976698,81.5,False,,,,,,,,,
168,81562,ipad,no light,black,Hydroxyurea (oral),100 micro 6,0.8154976698,81.5,False,,,,,,,,,
169,80743,nokia,benchtop,black,Hydroxyurea (oral),100 hydrea 7,0.9020522052,90.2,False,,,,,,,,,
170,80743,nokia,lightbox,black,Hydroxyurea (oral),100 hydrea 7,0.9020522052,90.2,False,,,,,,,,,
171,80743,nokia,no light,black,Hydroxyurea (oral),100 hydrea 7,0.9020522052,90.2,False,,,,,,,,,
172,81558,nokia,benchtop,black,Hydroxyurea (oral),100 micro 7,0.8154976698,81.5,False,,,,,,,,,
173,81558,nokia,lightbox,black,Hydroxyurea (oral),100 micro 7,0.8154976698,81.5,False,,,,,,,,,
174,81558,nokia,no light,black,Hydroxyurea (oral),100 micro 7,0.8154976698,81.5,False,,,,,,,,,
175,80743,ipad,benchtop,black,Hydroxyurea (oral),100 hydrea 7,0.9020522052,90.2,False,,,,,,,,,
176,80743,ipad,lightbox,black,Hydroxyurea (oral),100 hydrea 7,0.9020522052,90.2,False,,,,,,,,,
177,80743,ipad,no light,black,Hydroxyurea (oral),100 hydrea 7,0.9020522052,90.2,False,,,,,,,,,
178,81558,ipad,benchtop,black,Hydroxyurea (oral),100 micro 7,0.8154976698,81.5,False,,,,,,,,,
179,81558,ipad,lightbox,black,Hydroxyurea (oral),100 micro 7,0.8154976698,81.5,False,,,,,,,,,
180,81558,ipad,no light,black,Hydroxyurea (oral),100 micro 7,0.8154976698,81.5,False,,,,,,,,,
181,80327,nokia,benchtop,black,Hydroxyurea (oral),100 hydrea 8,0.9020522052,90.2,False,,,,,,,,,
